Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Examples\Examples.csproj,File,Examples\Examples.csproj,,,,,,,,Current target framework: net9.0;net8.0;netstandard2.1 Recommended target framework: net9.0;net8.0;netstandard2.1;net10.0
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Npgquery\Npgquery.csproj,File,Npgquery\Npgquery.csproj,,,System.Memory 4.6.3,,,,,"System.Memory, 4.6.3  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Npgquery\Npgquery.csproj,File,Npgquery\Npgquery.csproj,,,,,,,,Current target framework: net9.0;net8.0;netstandard2.1 Recommended target framework: net9.0;net8.0;netstandard2.1;net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Npgquery.Tests\Npgquery.Tests.csproj,File,Npgquery.Tests\Npgquery.Tests.csproj,,,xunit 2.9.3,,,,,"xunit, 2.9.3  Recommendation:  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Npgquery.Tests\Npgquery.Tests.csproj,File,Npgquery.Tests\Npgquery.Tests.csproj,,,,,,,,Current target framework: net9.0;net8.0 Recommended target framework: net9.0;net8.0;net10.0
